Profile,Gender,Platform,Exp_Week,Treatment,Day_0_Swipes,Day_3_Swipes,Day_5_Swipes,Match_Count,Hinge_Like_Count,Match_Rate
ASHLEY,FEMALE,HINGE,0,CONTROL,50,50,50,55,171,0.3666666667
ASHLEY,FEMALE,TINDER,0,CONTROL,,,,,,#DIV/0!
ASHLEY,FEMALE,HINGE,1,CONTROL,50,50,50,75,21,0.5
ASHLEY,FEMALE,TINDER,1,LIBERAL,,,,,,#DIV/0!
ASHLEY,FEMALE,HINGE,2,LIBERAL,50,50,50,78,14,0.52
ASHLEY,FEMALE,TINDER,2,CONSERVATIVE,,,,,,#DIV/0!
ASHLEY,FEMALE,HINGE,3,CONSERVATIVE,50,50,,,,0
ASHLEY,FEMALE,TINDER,3,CONTROL,,,,,,#DIV/0!
SAMANTHA,FEMALE,HINGE,0,CONTROL,,,,,,#DIV/0!
SAMANTHA,FEMALE,TINDER,0,CONTROL,,,,,,#DIV/0!
SAMANTHA,FEMALE,HINGE,1,LIBERAL,,,,,,#DIV/0!
SAMANTHA,FEMALE,TINDER,1,CONSERVATIVE,,,,,,#DIV/0!
SAMANTHA,FEMALE,HINGE,2,CONTROL,,,,,,#DIV/0!
SAMANTHA,FEMALE,TINDER,2,LIBERAL,,,,,,#DIV/0!
SAMANTHA,FEMALE,HINGE,3,CONSERVATIVE,,,,,,#DIV/0!
SAMANTHA,FEMALE,TINDER,3,CONTROL,,,,,,#DIV/0!
JESSICA,FEMALE,HINGE,0,CONTROL,50,50,50,53,237,0.3533333333
JESSICA,FEMALE,TINDER,0,CONTROL,,,,,,#DIV/0!
JESSICA,FEMALE,HINGE,1,CONTROL,50,50,50,57,47,0.38
JESSICA,FEMALE,TINDER,1,LIBERAL,,,,,,#DIV/0!
JESSICA,FEMALE,HINGE,2,CONSERVATIVE,50,50,50,25,22,0.1666666667
JESSICA,FEMALE,TINDER,2,CONTROL,,,,,,#DIV/0!
JESSICA,FEMALE,HINGE,3,LIBERAL,50,50,50,36,24,0.24
JESSICA,FEMALE,TINDER,3,CONSERVATIVE,,,,,,#DIV/0!
SARAH,FEMALE,HINGE,0,CONTROL,100,100,50,50,102,0.2
SARAH,FEMALE,TINDER,0,CONTROL,100,100,50,117,,0.468
SARAH,FEMALE,HINGE,1,CONSERVATIVE,100,100,100,81,130,0.27
SARAH,FEMALE,TINDER,1,CONSERVATIVE,100,100,100,121,,0.4033333333
SARAH,FEMALE,HINGE,2,LIBERAL,50,50,50,34,8,0.2266666667
SARAH,FEMALE,TINDER,2,CONTROL,50,50,50,40,,0.2666666667
SARAH,FEMALE,HINGE,3,CONTROL,50,50,50,35,72,0.2333333333
SARAH,FEMALE,TINDER,3,LIBERAL,50,50,50,21,,0.14
CHRIS,MALE,HINGE,0,CONTROL,100,100,100,34,8,0.1133333333
CHRIS,MALE,TINDER,0,CONTROL,100,100,100,10,,0.03333333333
CHRIS,MALE,HINGE,1,CONTROL,100,100,100,34,1,0.1133333333
CHRIS,MALE,TINDER,1,LIBERAL,100,100,100,5,,0.01666666667
CHRIS,MALE,HINGE,2,CONSERVATIVE,100,100,100,25,2,0.08333333333
CHRIS,MALE,TINDER,2,CONSERVATIVE,100,100,100,5,,0.01666666667
CHRIS,MALE,HINGE,3,LIBERAL,100,100,100,17,2,0.05666666667
CHRIS,MALE,TINDER,3,CONTROL,100,100,100,4,,0.01333333333
DAVE,MALE,HINGE,0,CONTROL,100,100,100,15,9,0.05
DAVE,MALE,TINDER,0,CONTROL,100,100,100,5,,0.01666666667
DAVE,MALE,HINGE,1,LIBERAL,100,100,100,20,,0.06666666667
DAVE,MALE,TINDER,1,CONSERVATIVE,100,100,100,2,,0.006666666667
DAVE,MALE,HINGE,2,CONTROL,100,100,100,10,2,0.03333333333
DAVE,MALE,TINDER,2,LIBERAL,100,100,100,0,,0
DAVE,MALE,HINGE,3,CONSERVATIVE,100,100,100,10,0,0.03333333333
DAVE,MALE,TINDER,3,CONTROL,100,100,100,0,,0
JOHN,MALE,HINGE,0,CONTROL,100,100,100,23,6,0.07666666667
JOHN,MALE,TINDER,0,CONTROL,100,100,100,1,,0.003333333333
JOHN,MALE,HINGE,1,CONSERVATIVE,100,100,100,20,1,0.06666666667
JOHN,MALE,TINDER,1,CONTROL,100,100,100,2,,0.006666666667
JOHN,MALE,HINGE,2,LIBERAL,100,100,100,25,0,0.08333333333
JOHN,MALE,TINDER,2,LIBERAL,100,100,100,2,,0.006666666667
JOHN,MALE,HINGE,3,CONTROL,100,100,100,20,0,0.06666666667
JOHN,MALE,TINDER,3,CONSERVATIVE,100,100,100,0,,0
MATT,MALE,HINGE,0,CONTROL,100,100,100,7,1,0.02333333333
MATT,MALE,TINDER,0,CONTROL,100,100,100,4,,0.01333333333
MATT,MALE,HINGE,1,CONSERVATIVE,100,100,100,5,,0.01666666667
MATT,MALE,TINDER,1,CONTROL,100,100,100,0,,0
MATT,MALE,HINGE,2,CONTROL,100,100,100,0,,0
MATT,MALE,TINDER,2,CONSERVATIVE,100,100,100,2,,0.006666666667
MATT,MALE,HINGE,3,LIBERAL,100,100,100,0,,0
MATT,MALE,TINDER,3,LIBERAL,100,100,100,1,,0.003333333333